企画ID,企画名,きかくめい,企画団体名,きかくだんたいめい,テント配置,公開時間21日,公開時間22日,ジャンル,パンフ原稿,
1091,ちびっこが楽しめるゲーム,ちびっこがたのしめるげーむ,ちびっこファイトクラブ（QBS13ｔｈ）,ちびっこふぁいとくらぶ,E4,9：00~19：00,9：00~19：00,遊ぶ,ちびっこ集まれ!!大興奮の射的、スーパーボール釣り、わなげで、素敵な商品をGETしよう!セット割引もあるよ!,
1064,HEROS,HEROS,BEANS,BEANS,E5,9：00~19：00,9：00~19：00,食べる,ただの射的はもう飽きた。歴代ヒーローたちの力を手に入れられる体感型アトラクション。巨大モンスターを倒せるのは君だけだ!,
1139,N.A.G料理教室,N.A.Gりょうりきょうしつ,N.A.G,N.A.G,E6,9：00~19：00,9：00~19：00,食べる,こちらは皆さんと一緒にどら焼きを作ってたべてもらう体験型のお店です。一緒に楽しくおいしいどら焼きを作りましょう!,
1079,よっちゃん,よっちゃん,九州大学ヨット部,きゅうしゅうだいがくよっとぶ,F1,9：00~19：00,9：00~19：00,食べる,はしまきとオムそばを作ります。はしまきは2種類の味があります。たくましい男とかわいいマネージャーが待ってます♡,
1054,稲庭うどん,いなばうどん,一家団欒,いっかだんらん,F2,9：00~19：00,9：00~19：00,食べる,秋田名産、稲庭うどんをお手軽価格で!滑らかな舌触り、のど越しの良さが特徴の手作り稲庭うどんは、名店、眞壁屋の逸品を使用。,
1060,アヒージョ by 縁,あひーじょ by えん,縁,えん,F3,9：00~19：00,9：00~19：00,食べる,アッツアツの僕達...冷めた君の体を、オリーブオイル...アンチョビ...にんにくで優しく包んで温めてあげる/// byアヒージョ,
1062,café 破天荒,かふぇはてんこう,医学部サッカー部,いがくぶさっかーぶ,F4,9：00~19：00,9：00~19：00,食べる,うめえ。来い。,
1058,たこ焼き屋,たこやきや,九州大学医学部水泳部,きゅうしゅうだいがくいがくぶすいえいぶ,F5,9：00~19：00,9：00~19：00,食べる,九州大学医学部水泳部です!今年はたこ焼きを販売します!ぜひ、お越し下さい♪,
1027,ザ・グリーンハーツ,ざ　ぐりーんはーつ,グリーンクラブ,ぐりーんくらぶ,F6,9：00~19：00,9：00~19：00,食べる,栄光に向かって走る~このお店に向かっていこう~..GREEN-GREEN食べに来て!GREEN-GREENおいしいよ♪,
1047,Zero to ワッサン,Zero to ワッサン,ELEP2015,ELEP2015,F7,9：00~19：00,9：00~19：00,食べる,昨春、アメリカへ留学したメンバーでアメリカの味を再現。九大祭でイノベーションを起こします。クロワッサン＆レモネード,
1063,ポテっと☆<br>ぽてともち,ぽてっと　ぽてともち,教育学部,きょういくがくぶ,F8,9：00~19：00,9：00~19：00,食べる,わたしたち教育学部はみなさまにもちもちおいしいポテトもちを提供させていただきます!小腹が空いたら是非!御賞味下さい♡,
1003,iTOBUCKS,iTOBUCKS,iTOP,iTOP,F9,9：00~19：00,9：00~19：00,食べる,iTOPは、新感覚のおにぎらずと、糸島事業者の方とコラボした豆腐ワッフルを販売します!ぜひお試しください!!,
1045,Curecurecureip,Curecurecureip,九州大学全学卓球部,きゅうしゅうだいがくぜんがくたきゅうぶ,F10,9：00~19：00,9：00~19：00,食べる,たまご焼きとクレープは紙一重!(byM浦)九州大学全学卓球部はラケットをクレープに持ち替えて皆様の来店を待ってます!,
1052,ゆきんこクレープ,ゆきんこくれーぷ,スキー部,すきーぶ,G1,9：00~19：00,9：00~19：00,食べる,スキー部は今年もゆきんこクレープを販売します。ぜひ一度甘くておいしいクレープを。,
1083,あかぎんち®,あかぎんち,九州大学医学部弓道部,きゅうしゅうだいがくいがくぶきゅうどうぶ,G2,9：00~19：00,9：00~19：00,食べる,寒い季節ですね。あかぎ君の愛情がこもった特製の豚汁とごはんで身体を温めませんか?部員一同、心よりお待ちしております!,
1020,元祖ラーメン糸島屋,がんそらーめんいとしまや,元祖糸島屋制作委員会,がんそいとしませいさくいいんかい,G3,9：00~19：00,9：00~19：00,食べる,元祖糸島屋をふんだんにリスペクトした企画です。うちラーメンしかなか!,
1082,がちまやー,がちまやー,九州大学沖縄県人会,きゅうしゅうだいがくおきなわけんじんかい,G4,9：00~19：00,9：00~19：00,食べる,九州大学沖縄県人会は、沖縄そばとサーターアンダギーを販売します!沖縄そばで是非あったまってください!!!!!!!,
1028,バド愛の手作り<br>ナントカ!,ばどあいのてづくりなんとか,バドミントン愛好会,ばどみんとんあいこうかい,G5,9：00~19：00,9：00~19：00,食べる,こんにちはバドミントン愛好会です。今年も5種類のおいし~い食べ物と「愛」を用意して出店します!ぜひお越しください!,
1065,そんなあなたに<br>おしるこ,そんなあなたにおしるこ,ATP,ATP,G6,9：00~19：00,9：00~19：00,食べる,ステージだけでなく実はテントでも頑張ってます!そんなこと知らないというあなた、僕らの暖かさが詰まったおしるこをぜひ!!,
1023,和,なごみ,Janets,Janets,G7,9：00~19：00,9：00~19：00,食べる,待ちに待った九大祭!!何食べる?ってなったら団子でしょ、小籠包でしょ!丸くて可愛いのがたまらない、ぜひ食べに来て下さい!,
1073,讃岐うどん,さぬきうどん,九州大学四国県人会,きゅうだいがくしこくけんじんかい,G8,9：00~19：00,9：00~19：00,食べる,四国の美味しいものをお届け！みなさんご存知、讃岐うどん・蛇口からポンジュース！ぜひ食べて四国の魅力を知ってください,
1080,クレープ@書道部,くれーぷあっとしょどうぶ,九州大学書道部,きゅうしゅうだいがくしょどうぶ,G9,9：00~19：00,9：00~19：00,食べる,こんにちは!今年、私たち書道部はクレープ屋を出店します!夢と希望を包み込んだおいしいクレープはいかがですか♪,
1048,甘味処九りく庵,かんみどころきゅうりくあん,九州大学陸上競技部,きゅうしゅうだいがくりくじょうきょうぎぶ,G10,9：00~19：00,9：00~19：00,食べる,今年も九大陸上部が餅つきます!屈強な男子部員が作るのは魂の苺大福!女子部員のハートがこもったぜんざい、雑煮もあるよ!,
1029,桔梗屋,ききょうや,KUBC九州大学放送研究会 ,KUBC　きゅうしゅうだいがくほうそうけんきゅうかい,G11,9：00~19：00,9：00~12：30,食べる,ご好評につき再来!KUBC自慢のラジオ番組と温かいビーフシチューをご用意しています。身も心も温まっていきませんか?,
1081,おでん 小呑龍,おでん こどんりゅう,九州大学写真部,きゅうしゅうだいがくしゃしんぶ,G12,9：00~19：00,9：00~19：00,食べる,写真部伝統おでん屋台、小呑龍(こどんりゅう)を今年もやります!店内にはこたつもあるのでゆっくり休憩したい方にもおすすめ。,
1043,"<span style=""font-size:14px; line-height:15px;"">FLAME☆KITCHEN</span>",FLAME☆KITCHEN,FLAME☆SHOT,FLAME☆SHOT,H1,9：00~19：00,9：00~19：00,食べる,私たちFLAME☆SHOTは伝統のパウンドケーキと、今年は焼きそばとチョコバナナを販売します!ぜひ足を運んでください!,
1036,おだんご屋,おだんごや,ANGELA,ANGELA,H2,9：00~19：00,9：00~19：00,食べる,私たちは屋台でいろいろな種類のおだんごを提供します。全ての味を食べ比べて、目指せ全種類制覇!,
1022,単位焼き,たんいやき,九大生協そしき部,きゅうだいせいきょうそしきぶ,H3,9：00~19：00,9：00~19：00,食べる,年に一度の九大祭。日頃の鬱憤を晴らしましょう。たい焼き?いえいえ単位焼き!ぜひぜひ食べに来てください!,
1075,café RENARD,café RENARD,RENARD,RENARD,H4,9：00~19：00,9：00~19：00,食べる,毎年恒例♪私たちはみんなで作ったチーズケーキを販売します!皆さんぜひお越しください!!,
1072,しろうと屋台,しろうとやたい,しろうとバレー,しろうとばれー,H5,9：00~19：00,9：00~19：00,食べる,しろうとバレーでは、おしゃれでおいしいワッフルとタピオカドリンクを販売します。ぜひ一度お立ち寄りください!,
1001,"<span style=""font-size:14px; line-height:15px;"">にくてん風お好み焼き<br>&オムそば</span>",にくてんふうおこのみやきあんどおむそば,グランドスラム,ぐらんどすらむ,H6,9：00~19：00,9：00~19：00,食べる,兵庫県のB級グルメにくてんを「お好み焼きこうじろ」さんとコラボしてお好み焼きにしました!にくてんが分からない?ググレカス,
1041,チロルズクレープ,ちろるずくれーぷ,チロルズ,ちろるず,H7,9：00~19：00,9：00~19：00,食べる,毎年好評のチロルズの安くておいしいクレープ!今年も出します。美男美女!?が待ってるので是非足を運んでください(^^),
1051,す～ぷすとっくITO,すーぷすとっくいと,丸田ゼミ,まるたぜみ,J1,9：00~19：00,9：00~19：00,食べる,私たち丸田ゼミは絶品スープを提供します!めちゃうま!お手頃!小腹が空いてあったまりたい皆様、どうぞお越しください♡!,
1050,お茶漬け屋,おちゃづけや,歯学部サッカー部,しがくぶさっかーぶ,J2,9：00~19：00,9：00~19：00,食べる,こんにちは。歯学部サッカー部です。私達は斬新なアイデアにより皆さんの味覚を魅了します。是非御来店ください。,
1032,ばらすと屋,ばらすとや,FC.BALLAST,FC.BALLAST,J3,9：00~19：00,9：00~19：00,食べる,どうも!FC.BALLASTです!我らの自慢の極旨フランクフルトをぜひご賞味ください♪ばらすと屋へGO!!,
1098,チェレステ屋,ちぇれすてや,Celeste,Celeste,J4,9：00~19：00,9：00~19：00,食べる,こんにちは!フリースタイルサークルのCelesteです!今年はクレープとたこ焼きを販売します。ぜひ食べに来てください!!,
1119,はしまき屋,はしまきや,スパークリングス,すぱーくりんぐす,J5,9：00~19：00,9：00~19：00,食べる,美味しさハジけるはしまきを販売します!スパのはしまきを食べなきゃ、学祭は始まらない!とりあえず、食べに来てください!,
1117,爽やか山口の<br>おいしいクレープ,さわやかやまぐちのおいしいくれーぷ,九州大学剣道部,きゅうしゅうだいがくけんどうぶ,J6,9：00~19：00,9：00~19：00,食べる,剣道部では種類豊富なクレープを販売します。おいしくて、しかも安い!ぜひお越しください!!,
1006,たこ焼く学部,たこやくがくぶ,臨床焼く学科,りんしょうやくがっか,K1,9：00~19：00,9：00~19：00,食べる,たこ焼きを焼く薬学部です!安くておいしいアツアツのたこ焼きをご提供します。ぜひ一度ご賞味ください!,
1055,うまいっ「たい」,うまいったい,九州大学医学部歯学部<br>バスケットボール部,きゅうしゅうだいがくいがくぶしがくぶばすけっとぼーるぶ,K2,9：00~19：00,9：00~19：00,食べる,お手元、冷えてないですか?ちょっとした温もりとおいしさをたい焼き1つで届けます!!あいた片手には豚汁を(><)!!,
1004,だんご屋,だんごや,百人一首愛好会,ひゃくにんいっしゅどうこうかい,K3,9：00~19：00,9：00~19：00,食べる,こんにちは、百人一首愛好会です!今回は糸島の高級豆腐をふんだんに使用した団子を作りました。ぜひご賞味あれ!,
1015,焼きそば屋「なま」,やきそばや　なま,生物研究部焼きそば隊,せいぶつけんきゅうぶやきそばたい,K4,9：00~19：00,9：00~19：00,食べる,今年も生物研究部1年で焼きそばを販売!精一杯作るのでご賞味あれ♪店名は「なま」ですが、安心してください、焼いてますよ!,
1129,地研コロッケ,ちけんころっけ,地学研究部,ちがくけんきゅうぶ,S1,9：00~19：00,9：00~19：00,食べる,こんにちは!私たち地学研究部はテント企画でコロッケを販売します!美味しいコロッケを食べに是非当店に足をお運びください!,
1127,パイナップル<br>スティック販売,ぱいなっぷるすてぃっくはんばい,九州大学鳥人間チーム,きゅうしゅうだいがくとりにんげんちーむ,S2,9：00~19：00,9：00~19：00,食べる,九州大学鳥人間チームはパイナップルスティックを販売します!甘くて柔らかくてジューシーなパイナップルはおやつにぴったり♪,
1014,Pumpkin For Two,Pumpkin For Two,TFT(Table For Two),TFT,S3,9：00~19：00,9：00~19：00,食べる,かぼちゃを使ったドーナツとスープを販売します!ほっこり甘いかぼちゃを食べればあなたもきっと幸せな気持ちになれるはず♪,
1046,ホットドッグ！,ほっとどっぐ,歯学部ラグビー部,しがくぶらぐびーぶ,S4,9：00~19：00,9：00~19：00,食べる,歯学部ラグビー部のプレイヤーが鍛え上げた筋肉でホットドッグを、マネージャーの研ぎ澄まされた動きでドリンクを提供します!!,
1132,こ〜んなコーンは<br>いかがですか？,こーんなこーんはいかがですか？,航空部,こうくうぶ,S5,9：00~19：00,9：00~19：00,食べる,今年もやります。九大航空部の焼きとうもろこし！新しい味もつくりました。ぜひご賞味ください！,
1103,Café Cambridge,Café Cambridge,ケンブリッジ<br>大学英語・学術研修,けんぶりっじだいがくえいご・がくじゅつけんしゅう,S6,9：00~19：00,9：00~19：00,食べる,英国本場の味を再現したフィッシュ&チップス、スコーン、紅茶などを販売します。イギリス、海外好きの方は来てください!!,
1070,畑から作った<br>美味しい焼き芋!,はたけからつくったおいしいやきいも,農業体験サークル<br>「有明の里」,のうぎょうたいけんさーくる　ありあけのさと,S7,9：00~19：00,9：00~19：00,食べる,あぁ愛しのサツマイモ。私たちが今年5月から、手間隙掛けて育てました。あつあつホクホク、あま〜い「焼き芋」おひとつどうぞ。,
1002,からあげあッス!,からあげあっす,九州大学トライアスロン部 Gaia,きゅうしゅうだいがくとらいあすろんぶGaia,S8,9：00~19：00,9：00~19：00,食べる,言わずと知れた隠れてない名店「伊都ホットサンド笑顔」さんとのコラボ企画です。おいしいからあげが食べたい人は来てください!,
1074,復活の「R」,ふっかつのR,G.FOIFOI,G.FOIFOI,S9,9：00~19：00,9：00~19：00,食べる,ラスポテト、ファッ!?えっ!ラスポテトォ↗↗??ラスポテトってなにィ!!?ラスポ・・・・、、U☆MA☆I☆ZE!!,
1034,FFDQ,FFDQ,九州大学物理研究部,きゅうしゅうだいがくぶつりけんきゅうぶ,S10,9：00~19：00,9：00~19：00,食べる,ゲームを作るサークルがナゲット&フライドポテトを作ります!ソースの種類もたくさん!九大祭のおともにいかがですか?,
1044,アプリコット 2015,あぷりこっと2015,apricot,apricot,S11,9：00~19：00,9：00~19：00,食べる,テニスサークルのapricotです。焼き鳥、ラーメン、おでんを販売します。美味しいのでぜひ食べに来てくださいね。,
